,title,company,cpage,ratings,location,days_ago,summary
12,Deloitte Digital - Data Scientist,Deloitte,https://au.indeed.com/cmp/Deloitte,4.0,Melbourne VIC,5,Data and analytics are at the core of what we do. Passionate about applying data science to “customer” problems such as data-driven marketing or augmented human…
13,Guidance Post Processing Data Scientist,Australian Bureau of Meteorology,https://au.indeed.com/cmp/Australian-Government-Bureau-of-Meteorology,3.7,Australia,8,"Guidance Post Processing Data Scientist. Data errors, data pre-processing, and accuracy metrics. The Science to Services Program of the Bureau of Meteorology is…"
14,Data Scientist,Munich Re,https://au.indeed.comn/a,0.0,Sydney NSW,30,"Identifies what data, both internally and externally, are available and relevant, as well as leveraging new data collection processes."
15,Data Scientist,QBE,https://au.indeed.com/cmp/Qbe,3.6,Sydney NSW,14,"Leading analytical conversation with business centred on “The art of the possible using data science”, exploring data from a modelling perspective, and…"
16,Data Scientist,DHL Supply Chain Australia,https://au.indeed.com/cmp/DHL-Supply-Chain,3.7,Australia,5,"Experience of working with SQL to query databases, extract, manipulate and prepare data. Identify new strategic application areas, use cases or products by…"
17,Data Scientist,GHD,https://au.indeed.com/cmp/Ghd,3.7,Melbourne VIC,28,"Helping clients to develop an analytics, data governance or big data strategy. Big Data ingestion & management including ETL, real-time streaming & data lakes."
18,Data Scientist,Brown-Forman,https://au.indeed.com/cmp/Brown--forman,3.9,Sydney NSW,24,"Assist in developing Brown-Forman’s data visualisation techniques, designing diverse sets of structured and unstructured data."
19,Data Scientist,Scout Talent HQ,https://au.indeed.comn/a,0.0,Brisbane QLD,30,"We’re on the lookout for a Data Scientist to join our team, working with us on our AI strategy and project plan, using machine learning, predictive analytics…"
20,Scientist (Remote Sensing),Queensland Government,https://au.indeed.com/cmp/Queensland-Government,4.0,Brisbane QLD,8,"The Scientist (Remote Sensing) PO3, is a role in which you will: And the reporting, visualisation and delivery of data and results."
21,Guidance Post Processing Data Scientist,Australian Bureau of Meteorology,https://au.indeed.com/cmp/Australian-Government-Bureau-of-Meteorology,0.0,Australia,8,"Guidance Post Processing Data Scientist.Data errors, data pre-processing, and accuracy metrics.The Science to Services Program of the Bureau of Meteorology is…"
22,Data Scientist,Scout Talent HQ,https://au.indeed.comn/a,0.0,Brisbane QLD,30,"We’re on the lookout for a Data Scientist to join our team, working with us on our AI strategy and project plan, using machine learning, predictive analytics…"
23,Deloitte Access Economics - Junior Data Scientist,Deloitte,https://au.indeed.com/cmp/Deloitte,0.0,Sydney NSW,30,"The data will be both temporal and spatial.Statistics, data analytics, computer science);Understanding of economics, statistics and demographics is an…"
24,Senior Data Scientist,Queensland Rail,https://au.indeed.com/cmp/Queensland-Rail,0.0,Brisbane QLD,4,Strong experience in executive reporting/presentation and managing large data sets for simulation and data analysis.Please do not email your application.
25,Data Scientist - Search & Discovery,Envato,https://au.indeed.comn/a,0.0,Melbourne VIC,30,"As part of the Data Science team within the Analytics practice, you will serve as the technical subject matter expert and collaborate on a variety of…"
26,Research/Medical Scientist,Austin Health,https://au.indeed.com/cmp/Austin-Health-1,0.0,Heidelberg VIC,2,Demonstrated ability to undertake activities relating to the management of research data.Demonstrated ability to work with senior researchers or scientists to…
27,Data Scientist,Amazon Corporate Services Pty,https://au.indeed.com/cmp/Amazon.com,0.0,Sydney NSW,30,"At AWS, Network Availability Engineering is seeking a talented Data Scientist to join their Sydney team!Here at AWS we are looking for a Data Scientist who is…"
28,Data Scientist - Marketing,World Vision Australia,https://au.indeed.com/cmp/World-Vision-Australia,0.0,Victoria,7,"Developing data assets (mainly using SQL and R).Running, maintaining and productionizing Data science products.Testing and cross validating data and queries."
29,Data Scientist,BT,https://au.indeed.com/cmp/Bt,0.0,Australia,22,The Data Scientist will have in-depth knowledge and excellent expertise across a wide variety of data science and analytics techniques to provide influence and…
30,Respiratory Scientist (Scientific Officer) Campbelltown Hosp...,South Western Sydney Local Health District,https://au.indeed.com/cmp/South-Western-Sydney-Local-Health-District,0.0,Campbelltown NSW,6,"The Respiratory Scientist is responsible for the provision of high quality care to patients.They are expected to be knowledgeable in the procedures,…"
31,Respiratory Scientist (Scientific Officer) Campbelltown Hosp...,South Western Sydney Local Health District,https://au.indeed.com/cmp/South-Western-Sydney-Local-Health-District,4.4,Campbelltown NSW,6,"The Respiratory Scientist is responsible for the provision of high quality care to patients. They are expected to be knowledgeable in the procedures,…"
32,Research/Medical Scientist,Austin Health,https://au.indeed.com/cmp/Austin-Health-1,4.2,Heidelberg VIC,2,Demonstrated ability to undertake activities relating to the management of research data. Demonstrated ability to work with senior researchers or scientists to…
33,Data Scientist - Search & Discovery,Envato,https://au.indeed.comn/a,0.0,Melbourne VIC,30,"As part of the Data Science team within the Analytics practice, you will serve as the technical subject matter expert and collaborate on a variety of…"
34,Software Engineer / Data Scientist,Australian Bureau of Meteorology,https://au.indeed.com/cmp/Australian-Government-Bureau-of-Meteorology,3.7,Australia,8,"Application to large data volumes. Staff, software engineers and scientists). Data services, and others as appropriate. And all Australia, every day."
35,Data Analysis Officer,Queensland Government,https://au.indeed.com/cmp/Queensland-Government,4.0,Brisbane QLD,2,"Dashboard and data visualisation tools - Tableau, PowerBI. Data Analysis Officers have a range of technical skills and are able to use some or all of the…"
36,"Senior Data Scientist, Growth",Atlassian,https://au.indeed.com/cmp/Atlassian,4.5,Sydney NSW,4,An active member of the broader Analytics and Data Science community. 3+ years of relevant experience using data to build products at industry-leading companies…
37,Scientist,CSL Behring,https://au.indeed.com/cmp/Csl-Behring,3.2,Parkville VIC,2,We have a 12 month fixed-term opportunity for a Scientist to join our Formulation Development department within the Bioprocess Development group of R&D located…
38,Environmental Scientist,Cardno,https://au.indeed.com/cmp/Cardno,3.6,Melbourne VIC,1,We place a high emphasis on the quality of our work and you will be provided with the necessary training and supervision to ensure you perform tasks associated…
39,Senior Data Scientist,Peregrine Corporation,https://au.indeed.com/cmp/Peregrine-Corporation,2.8,Australia,15,"Lead other data scientists, to develop solutions and to support critical decision making. Develop a leading data science capability. What’s in it for you?"
40,Data Scientist,Feedzai,https://au.indeed.comn/a,0.0,Sydney NSW,8,"Work together with the data scientists and engineers from our clients. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission…"
41,Data Scientist,Feedzai,https://au.indeed.comn/a,0.0,Sydney NSW,8,"Work together with the data scientists and engineers from our clients. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission…"
42,Senior Sleep Scientist,ACT Government,https://au.indeed.com/cmp/Act-Government,3.3,Canberra ACT,8,"The Health Professional Level 3 (HP3) Senior Sleep Scientist role working in conjunction with the Team Leader, oversees high quality clinical services in…"
43,Senior Data Scientist,Amazon Corporate Services Pty,https://au.indeed.com/cmp/Amazon.com,3.6,Sydney NSW,7,"You will have ownership over our data strategy, working in one of the world’s most diverse and complex data environments, bringing together loosely structured…"
44,PortCast - Data Scientist,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,You will be required to be an end-to-end data scientist. You will be required to develop data visualisation for data stories. You may be a good fit if:
45,RADICALI - Data Scientist,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,Identifying dynamic regulatory landscapes from product usage data. We're looking for an experienced data scientist to contribute to the development of our…
46,Data Analyst,Qantas Airways Limited,https://au.indeed.com/cmp/Qantas,4.1,Sydney NSW,9,"You will be collaborating with business stakeholders, vendors/suppliers, data engineers, data scientists, business analysts and technology teams across the…"
47,Senior Data Scientist,Internetrix,https://au.indeed.comn/a,0.0,Wollongong NSW,30,"You are an experienced data scientist or applied statistician with proven ability to analyse complex data and deliver insightful, commercially relevant and…"
48,Senior Data Analyst/Scientist,International Institute of Data & Analytics,https://au.indeed.comn/a,0.0,Sydney NSW,10,"In data science and big data analytics, the IDA creates enablers for: Lead and mentor junior data analysts/scientists in a closely collaborative data science…"
49,Research Scientist - Health AI Postdoc FTH 24 Months Melbour...,IBM,https://au.indeed.com/cmp/IBM,3.9,Melbourne VIC,30,Research Scientist - Health AI Postdoc FTH 24 Months Melbourne. Knowledge of using machine learning/deep learning for analysing of imaging and/or textual data.
50,Senior Data Scientist - AWS Professional Services,AWS Australia Pty Ltd,https://au.indeed.com/cmp/Amazon.com,3.6,Melbourne VIC,30,"Our Data Scientists can live in any location where we have a Professional Service office. Work with our Professional Services Big Data consultants to analyze,…"
51,Research Scientist - Health AI Research Staff Member - Melbo...,IBM,https://au.indeed.com/cmp/IBM,0.0,Melbourne VIC,30,"Experience developing, testing, and deploying systems for analysing medical data such as for example EEG, ECG, text, speech or imaging data, or for other real…"
52,Software Engineer - Data and Machine Learning,Foxtel,https://au.indeed.com/cmp/Foxtel,0.0,North Ryde NSW,11,"Data structures + algorithms, especially applied to big data technologies.Detailed knowledge of big data storage options and their trade-offs (object storage,…"
53,RADICALI - Data Scientist,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,Identifying dynamic regulatory landscapes from product usage data.Adopting a key role in defining the data science strategy for our product.
54,Data Scientist,Firesoft People,https://au.indeed.comn/a,0.0,Surry Hills NSW,15,"Proven commercial experience in statistical and machine learning modelling, with experience manipulating and 'making sense' of big data from disparate systems."
55,IBM Research Scientist – Blockchain Postdoc FTH 24Months Mel...,IBM,https://au.indeed.com/cmp/IBM,0.0,Melbourne VIC,30,"Expertise in one or more programming languages, and a strong background in data structures and algorithms.You will be working under the direction of senior IBM…"
56,Research Scientist - Health AI Postdoc FTH 24 Months Melbour...,IBM,https://au.indeed.com/cmp/IBM,0.0,Melbourne VIC,30,Knowledge of using machine learning/deep learning for analysing of imaging and/or textual data.From landing the first astronauts on the moon to building the…
57,Junior Data Scientist,Motion Recruitment,https://au.indeed.comn/a,0.0,Sydney NSW,22,"Bachelor's degree in a relevant field (statistics, mathematics, economics, data science).A chance to work with a exciting upstart boutique media agency."
58,Data Analyst/Junior Data Scientist,S2M,https://au.indeed.comn/a,0.0,Sydney NSW,8,"2-3 years’ experience as a data analyst/scientist.Ability to review and recommend new data management solutions, including data warehousing and segmentation."
59,Senior Sleep Scientist,ACT Government,https://au.indeed.com/cmp/Act-Government,0.0,Canberra ACT,8,"Proficiency in Polysomnography data analysis as per the American Academy of Sleep Medicine (AASM), Australasian Sleep Association (ASA) and Australasian Sleep…"
60,Data Scientist,PRA,https://au.indeed.comn/a,0.0,Melbourne VIC,1,"Strong data analysis skills and experience with data preparation.Work on and sustain big data platform, data, models and customer insights."
61,Software Engineer - Data and Machine Learning,Foxtel,https://au.indeed.com/cmp/Foxtel,0.0,North Ryde NSW,11,"Data structures + algorithms, especially applied to big data technologies.Detailed knowledge of big data storage options and their trade-offs (object storage,…"
62,GIS Technician/ Scientist,Senversa,https://au.indeed.comn/a,0.0,Melbourne VIC,5,Strong data processing and management skills.Spatial analysis of data to help with decision making.Assisting with implementing technologies related to spatial…
63,IBM Research Scientist -AI-NLP Melbourne,IBM,https://au.indeed.com/cmp/IBM,0.0,Melbourne VIC,30,"IBM Research Scientist -AI-NLP Melbourne.IBM Research Scientist -AI-NLP Melbourne.IBM Research Scientists are charting the future of Artificial Intelligence,…"
64,Lead Data Scientist in Sydney,Metigy,https://au.indeed.comn/a,0.0,Sydney NSW,10,"What Data Scientist are you?Experience working with and creating data architectures.As a lead data scientist @Metigy, you will lead the team in creating and…"
65,Data Scientist,Firesoft People,https://au.indeed.comn/a,0.0,Melbourne VIC,24,Australian retail giant is looking for an experienced Data Scientist to join a team that has been recognised by Facebook and Google as one of the most…
66,Lead Data Scientist - Tech,Michael Page,https://au.indeed.com/cmp/Michael-Page,0.0,Melbourne VIC,5,"An experienced machine learning practitioner, passionate about building and improving internet-scale products informed by data."
67,Student / Intern: Machine Learning driven software bug detec...,Oracle,https://au.indeed.com/cmp/Oracle,0.0,Brisbane QLD,30,"Machine Learning driven software bug detection-190013BD.A six month, full time research internship, starting January 2020 is available at Oracle Labs."
68,Senior Research and Data Analyst,Australian Communications and Media Authority,https://au.indeed.com/cmp/Australian-Communications-and-Media-Authority,0.0,Sydney NSW,2,"Position Profile - PN 003 - Senior Research and Data Analyst - EL 1 Opens in new window.The Research and Analysis Section sits within the Research, Data and…"
69,Data Engineer - Microsoft Business Intelligence - SSIS – Syd...,EY,https://au.indeed.com/cmp/Ey,0.0,Sydney NSW,1,"We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business…"
70,Senior Data Scientist - Risk Strategy and Optimisation,Commonwealth Bank,https://au.indeed.com/cmp/Commonwealth-Bank,0.0,Sydney NSW,2,The Data scientist will use understanding of business domain to complete data science projects independently with moderate to high complexity.
71,Data Engineer - Microsoft Business Intelligence - SSIS – Syd...,EY,https://au.indeed.com/cmp/Ey,0.0,Sydney NSW,1,"We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business…"
72,Lead Data Scientist - Tech,Michael Page,https://au.indeed.com/cmp/Michael-Page,0.0,Melbourne VIC,5,"An experienced machine learning practitioner, passionate about building and improving internet-scale products informed by data."
73,Senior Research Scientist - Machine Learning for Robotics,CSIRO,https://au.indeed.com/cmp/Csiro,0.0,Brisbane QLD,30,"Join CSIRO’s Data61, the largest data innovation group in Australia. Apply your expertise in Machine Learning, 3D geometry, linear algebra and optimisers."
74,RESEARCH FELLOW IN STATISTICAL DATA SCIENCE,University of Melbourne,https://au.indeed.com/cmp/University-of-Melbourne,0.0,Parkville VIC,18,The School for Mathematics and Statistics is seeking a qualified and enthusiastic Research Fellow to lead cutting-edge research in statistical approaches in the…
75,Senior Environmental Scientist,EnviroAg Australia,https://au.indeed.comn/a,0.0,Toowoomba QLD,4,Undertake field investigations and assessments including travel and data collection in remote locations. The key responsibilities of the position will include:
76,Data Scientist,Michael Page,https://au.indeed.com/cmp/Michael-Page,0.0,Sydney Western Suburbs NSW,7,Engage with senior client stakeholders to understand their data and to define and derive valid and pragmatic data insights from multiple disparate data sources.
77,"Environmental Scientist, Graduate to Senior (Mid-Senior Leve...",ERM Group,https://au.indeed.comn/a,0.0,Perth WA,9,QUALIFICATIONS of Senior Environmental Scientist: QUALIFICATIONS of a Environmental Scientist: QUALIFICATIONS of Environmental Scientist (Some experience).
78,Data Scientist,Paxus,https://au.indeed.comn/a,0.0,Melbourne VIC,16,"Mine and analyze data from all available data sources to support product development efforts. Expertise in the use of data science tools such as R, Python,…"
79,AI Palette - Lead NLP Data Scientist,TechSkills Accelerator,https://au.indeed.comn/a,0.0,Australia,30,Build & grow the data science team. Prior experience of 3+ years in industrial data science related to NLP. You may be a good fit if you have:
80,Junior Data Engineers / Analyst Programmer,Capgemini Australia,https://au.indeed.com/cmp/Capgemini,0.0,Adelaide SA,30,"Work closely with data analysts, data stewards, developers, data scientist and system owners in the testing of newly-incorporated databases and integration…"
81,IBM Research Scientist - Health AI Postdoc FTH 24Months Melb...,IBM,https://au.indeed.com/cmp/IBM,0.0,Melbourne VIC,30,Knowledge of using machine learning/deep learning for analysing video data. Research Scientist - Health AI Postdoc FTH 24Months Melbourne.
82,Data Scientist,The Recruitment Company,https://au.indeed.comn/a,0.0,Sydney NSW,14,10 years or more in a statistical based role analysing large and complex data sets. Your solutions will bring real benefits to Australians and will lead the way…
83,Trainee,NSW Health Service,https://au.indeed.com/cmp/Nsw-Health,0.0,Hunter Valley NSW,1,Sound knowledge of statistical methods and experience with data management in a clinical research environment. Employment Status Full Time - Exempt.
84,Data Analyst,Sedgman Limited,https://au.indeed.com/cmp/Sedgman-Limited,0.0,Brisbane QLD,21,Maintain data systems as required. In this role you will be responsible for working closely with the broader team to provide technical expertise through data…
85,Data Scientist,IT Alliance Australia,https://au.indeed.comn/a,0.0,Canberra ACT,4,"A track record in delivering data science solutions to improve business outcomes. Strong skills in data wrangling with complex datasets on large, distributed…"
86,Research Scientist NLP Post Doc – FTH 24 Months Melbourne,IBM,https://au.indeed.com/cmp/IBM,0.0,Melbourne VIC,30,"Fundamental research into neural natural language processing methods and their application to health, finance and government data. Fixed Term Hire 24 Months."
87,Data Scientist,ARQ Group,https://au.indeed.com/cmp/Arq-Group,0.0,Melbourne VIC,6,"Experience dealing with large unstructured data sets with multiple sources –. Arq Group are Australia’s leading experts in Mobile, Data & Analytics and Cloud,…"
88,Data Scientist,Verse Group,https://au.indeed.comn/a,0.0,Perth WA,29,"Someone who can turn raw data into insights. You'll influence technology choices and develop strategic plans, brainstorming ideas and setting timelines for…"
89,Specialist Applied Scientist - Water Technology,Environment Protection Authority,https://au.indeed.comn/a,0.0,Melbourne VIC,7,Demonstrated ability to analyse and interpret environmental data and information. An exciting opportunity to join EPA and deliver specialist applied science…
90,Research Scientist/Senior Research Scientist in Systems,CSIRO,https://au.indeed.com/cmp/Csiro,0.0,Sydney NSW,10,"Join CSIRO’s Data61, the largest data innovation group in Australia. CSIRO’s Data61 business unit is the largest data innovation group in Australia, bringing…"
91,Research Fellow / Fellow | Data Assimilation Analyst | Insti...,Australian National University,https://au.indeed.com/cmp/Australian-National-University,0.0,Canberra ACT,3,"The successful candidate will engage in research and teaching, and have a strong background in data inversion and/or data assimilation (e.g. Kalman filtering),…"
92,Data and Insights Analyst,Culture Amp,https://au.indeed.comn/a,0.0,Melbourne VIC,30,"Familiarity with data engineering and data pipelines.As our Data and Insights Analyst, you’ll work closely with various stakeholders—from product managers to…"
93,Data Scientist,Horizon Consulting,https://au.indeed.comn/a,0.0,Melbourne VIC,23,"Excellent interpersonal, written and oral communication skills to enable effective communication with data users and clients, including good presentation and…"
94,Data Engineer,Kayo Sports,https://au.indeed.comn/a,0.0,Artarmon NSW,16,"Support our software developers, database architects, data analysts and data scientists on data initiatives, ensuring optimal data delivery architecture is…"
95,Data Engineer,Aurecon Group,https://au.indeed.com/cmp/Aurecon-Group,0.0,Melbourne VIC,23,"Create accessible data pipelines for consumption by data scientists.Create and manage databases, data lakes and data warehouses used for analysis by data…"
96,"Senior Scientist, Coastal Engineering",Queensland Government,https://au.indeed.com/cmp/Queensland-Government,0.0,Brisbane QLD,8,"Project manage all aspects of physical modelling activities of the Queensland Government Hydraulics Laboratory, including but not limited to: - project…"
97,Deloitte Access Economics - Junior Quantitative Analyst,Deloitte,https://au.indeed.com/cmp/Deloitte,0.0,Melbourne VIC,27,"This role will have a significant quantitative element, which will see you working with large datasets, including temporal and spatial data."
98,Data Science Analyst,NAB - National Australia Bank,https://au.indeed.com/cmp/Nab---National-Australia-Bank,0.0,Melbourne VIC,30,Performing data cleaning & data manipulation.Collecting data and conducting basic analysis.Expertise in business-focused data analysis.You and your new role:
99,Medical Laboratory Scientist,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,Camperdown NSW,1,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
100,Data Science - Chapter Lead,ANZ Banking Group,https://au.indeed.com/cmp/Anz-Banking-Group,0.0,Melbourne VIC,14,Every data scientist has options to work on challenging data science problems and bring your disruptive innovations to make impactful products .
101,Environmental Scientist (Associate Level),ERM Group,https://au.indeed.comn/a,0.0,Perth WA,30,"ROLE PROFILE of Environmental Scientist:Management and analysis of technical data;Providing inputs into elements of project scoping, data management, and/or…"
102,Data Scientist,Capgemini Singapore,https://au.indeed.com/cmp/Capgemini,0.0,Adelaide SA,8,Proven experience as a Data Scientist.We are looking for a Data Scientist to analyse large amounts of raw information to find patterns and build data products…
103,Applied Scientist,AWS Australia Pty Ltd,https://au.indeed.com/cmp/Amazon.com,0.0,Sydney NSW,9,Answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to gather data.
104,Medical Laboratory Scientist - Serology,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,St Leonards NSW,15,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
105,Lead Data Scientist,Paxus,https://au.indeed.comn/a,0.0,Perth WA,1,"Experience working with, leading and managing teams within Data Science.Work closely with the Data Science team in leading and overseeing current and future…"
106,Research Assistant,The University of Queensland,https://au.indeed.com/cmp/The-University-of-Queensland,0.0,Brisbane QLD,14,"In collection, analysis and reporting of research data.QBI was established in 2003 and is home to more than 450 scientists and 42 laboratory leaders."
107,Data Scientist (Advanced Analytics),Mindcloud Consultants,https://au.indeed.comn/a,0.0,Sydney NSW,10,"Experience with large data sets, including statistical analyses, data visualization, data mining and data cleansing/transformation and machine learning…"
108,National Border Surveillance (NBS) - Surveillance Officer,Department of Agriculture & Water Resources,https://au.indeed.com/cmp/Australian-Government-Department-of-Agriculture-and-Water-Resources,0.0,Perth Airport WA,10,A well-developed ability to record data and analyse information.Good data management skills including demonstrated competence in using programs such as…
109,Agribusiness Development Manager | Precision Agriculture,Agri Labour Australia Pty Ltd,https://au.indeed.com/cmp/Agri-Labour-Australia-Pty-Ltd,0.0,Toowoomba QLD,22,"Supported by a progressive team of experienced consultants, software developers, data scientists and leading agriculture experts, your role sees you undertaking…"
110,Data Scientist \ Electrical Engineering,Human Capital Management Australia,https://au.indeed.comn/a,0.0,Sydney NSW,8,Currently having to micromanage a lot of coders as most of them aren’t seasoned data scientists.Data Science/ Electrical Engineering cross over.
111,Data Scientist/Analyst – SAS,Adaps,https://au.indeed.comn/a,0.0,Brisbane QLD,10,"As a Data Scientist you will design data stores, and build advanced data models to solve complex problems and generate sophisticated insights."
112,Senior Environmental Scientist,Stantec,https://au.indeed.comn/a,0.0,Perth WA,29,Management and analysis of scientific data. Important requirements of the role will be the ability to develop of work programs; manage a soil lab; participate…
113,Experienced Environmental Scientist,AECOM,https://au.indeed.com/cmp/AECOM,0.0,Perth WA,30,"+ Strong background in contaminated site assessment and characterisation, including data gap analysis, uncertainty evaluation, establishment of data quality…"
114,Data Scientist,Adaps,https://au.indeed.comn/a,0.0,Sydney NSW,5,"Demonstrate a strong proficiency in Excel, PowerPoint and SharePoint. Strong organisation, attention to detail and an inquisitive mind are essential."
115,Front-End Web Developer - Analytics & Data Visualisation,Commonwealth Bank,https://au.indeed.com/cmp/Commonwealth-Bank,0.0,Sydney NSW,16,In doing so you will work with our modellers and data scientists to convert prototypes into robust and scalable solutions using reusable application development…
116,Senior Analyst (Data Scientist),Peoplebank,https://au.indeed.com/cmp/Peoplebank,0.0,Melbourne VIC,8,"Background in statistical analysis, modelling techniques over large data sets. Reporting in the the Head of Network Analytics & Insights, the Senior Analyst…"
117,Find Out More,The University of Adelaide,https://au.indeed.com/cmp/The-University-of-Adelaide,0.0,Adelaide SA,7,Evidence of good computational and analytical programming skills and the ability to use geographic information systems to generate and map spatial data.
118,Advisor Data Mining,DXC,https://au.indeed.com/cmp/Dxc-Technology,0.0,Sydney NSW,30,Guides and assigns work of others & manages large scale projects with teams ranging from 3-5 data scientists. Technically mentors multiple team of sizes varying…
119,Quantitative Analyst Intern,TabCorp Holdings,https://au.indeed.com/cmp/Tabcorp-Holdings,0.0,Sydney NSW,24,"Tabcorp is a world-class diversified gambling entertainment group and a top 50 ASX company. We operate the iconic brands Tatts, TAB, NSW Lotteries, Golden…"
120,Statistical Analyst,Queensland Government,https://au.indeed.com/cmp/Queensland-Government,0.0,Brisbane QLD,4,This position will be responsible for working with Queensland Health to facilitate access to enterprise data systems and to undertake analytics to use this data…
121,Veterinary Laboratory Scientist,IDEXX,https://au.indeed.com/cmp/Idexx-Laboratories,0.0,Rydalmere NSW,30,"Intermediate computer and data entry skills.Across the globe the team at IDEXX are focused on enhancing the health and well-being of pets, people, and…"
122,Trainee Medical Laboratory Scientist - Anatomical Pathology,NSW Health Pathology,https://au.indeed.com/cmp/Nsw-Health,0.0,Gosford NSW,10,"Excellent data entry skills including high attention to detail and data accuracy.Our network of pathologists are supported by scientists, technicians and…"
123,Senior Analyst (Data Scientist),Peoplebank,https://au.indeed.com/cmp/Peoplebank,0.0,Melbourne VIC,8,"Background in statistical analysis, modelling techniques over large data sets.Reporting in the the Head of Network Analytics & Insights, the Senior Analyst…"
124,Find Out More,The University of Adelaide,https://au.indeed.com/cmp/The-University-of-Adelaide,0.0,Adelaide SA,7,Evidence of good computational and analytical programming skills and the ability to use geographic information systems to generate and map spatial data.
125,Data Engineer,Metigy,https://au.indeed.comn/a,0.0,Sydney NSW,10,"As a data engineer @Metigy, you will be working on collecting, storing, processing and analyzing huge sets of data from a large number of data sources."
126,Laboratory Assistant,Goulburn Valley Health,https://au.indeed.com/cmp/Goulburn-Valley-Health,0.0,Shepparton VIC,3,The Laboratory Assistant is responsible for providing data entry and specimen reception support to scientists as well as assisting with the testing of pathology…
127,Enterprise Data Engineer,MinterEllison,https://au.indeed.com/cmp/Minterellison,0.0,Melbourne VIC,22,Big data exposure (including data lakes) favourable.This role will enable the Analytics Centre of Excellence to better support the business by collaborating to…
128,Data Translator,Hudson,https://au.indeed.com/cmp/Hudson,0.0,Brisbane QLD,1,Build partnerships by participating in joint committee/working groups with relevant stakeholders to: investigate smarter ways of working to reduce duplication…
129,"Technical Solutions Engineer, Big Data and Machine Learning",Google,https://au.indeed.com/cmp/Google,0.0,Sydney NSW,9,"Background in data analytics, warehousing, ETL development, data science, or other Big Data applications.Experience with distributed, columnar and/or analytic…"
130,Lead Data Scientist,Precision Sourcing,https://au.indeed.com/cmp/Precision-Sourcing,0.0,Sydney NSW,30,Join a industry recognised team of data scientists and engineers working on an abundance of rich unique data.Big data plaftorms experience is essential.
131,National Border Surveillance (NBS) - Regional Coordinator,Department of Agriculture & Water Resources,https://au.indeed.com/cmp/Australian-Government-Department-of-Agriculture-and-Water-Resources,0.0,Eagle Farm QLD,10,"Ensuring accurate collection and reporting of data in line with the surveillance outcome.Ensuring accurate, consistent and timely (up to date) data entry and…"
